ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Zinc ,http://anzsoil.org/def/au/scm/12A1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/12A1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/12A1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/12B1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/12B1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Boron ,http://anzsoil.org/def/au/scm/12C1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Boron ,http://anzsoil.org/def/au/scm/12C2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/12D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/12D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/12D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/12D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Molybdenum ,http://anzsoil.org/def/au/scm/12E1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/13A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/13A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Silicon ,http://anzsoil.org/def/au/scm/13A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/13B1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/13B1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/13C1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/13C1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Silicon ,http://anzsoil.org/def/au/scm/13D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Silicon ,http://anzsoil.org/def/au/scm/13D2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Electrical conductivity,http://anzsoil.org/def/au/scm/14B1,number,DeciS-PER-M,Chemical,EC,fine soil fraction (<2mm)
  pH,http://anzsoil.org/def/au/scm/14C1,number,0,Chemical,0,fine soil fraction (<2mm)
Concentration of Bicarbonate ,http://anzsoil.org/def/au/scm/14D1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Carbonate ,http://anzsoil.org/def/au/scm/14D1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
